編號,所屬單位,安裝地址,攝影方向
LAAA001-01,大同分局 寧夏路派出所,民生西路231號,西
LAAA002-01,大同分局 寧夏路派出所,民生西路257號,西
LAAA003-01,大同分局 寧夏路派出所,寧夏路55號燈桿,東北
LAAA004-01,大同分局 寧夏路派出所,興城街31號前燈桿,南
LAAA005-01,大同分局 寧夏路派出所,錦西街63號,北北西
LAAA006-01,大同分局 寧夏路派出所,興城街36號旁,東
LAAA008-01,大同分局 寧夏路派出所,民生西路171巷27號前燈桿,南
LAAA009-01,大同分局 寧夏路派出所,興城街75號前燈桿,南
LAAA010-01,大同分局 寧夏路派出所,寧夏路67號旁,東
LAAA011-01,大同分局 寧夏路派出所,民權西路136號前燈桿,南
LAAA012-01,大同分局 寧夏路派出所,承德路2段與民權西路東南角,北
LAAA014-01,大同分局 寧夏路派出所,寧夏路55號旁,東北
LAAA015-01,大同分局 寧夏路派出所,重慶北路2段171號〈家樂福〉,西北
LAAA015-02,大同分局 寧夏路派出所,重慶北路2段171號〈家樂福〉,東
LAAA016-01,大同分局 寧夏路派出所,民生西路49號旁(雙連捷運2號出口右側號誌),西
LAAA017-01,大同分局 寧夏路派出所,興城街75號前燈桿,西
LAAA018-01,大同分局 寧夏路派出所,錦西街178號,西
LAAA018-02,大同分局 寧夏路派出所,錦西街178號,東
LAAA019-01,大同分局 寧夏路派出所,寧夏路77號右前方,東南
LAAA020-01,大同分局 寧夏路派出所,承德路2段132號(分隔島),南
LAAA021-01,大同分局 寧夏路派出所,歸綏街88-1號旁,東
LAAA022-01,大同分局 寧夏路派出所,歸綏街63號,西
LAAA023-01,大同分局 寧夏路派出所,歸綏街83巷口,北
LAAA024-01,大同分局 寧夏路派出所,雙連街53巷28號旁燈桿,南
LAAA025-01,大同分局 寧夏路派出所,民生西路63號旁,北
LAAA026-01,大同分局 寧夏路派出所,萬全街42號,西
LAAA026-02,大同分局 寧夏路派出所,萬全街42號,東
LAAA027-01,大同分局 寧夏路派出所,承德路2段185號,東
LAAA028-01,大同分局 寧夏路派出所,錦西街88號前號誌桿,東
LAAA029-01,大同分局 寧夏路派出所,錦西街90號旁,南
LAAA030-01,大同分局 寧夏路派出所,雙連街2號,北
LAAA031-01,大同分局 寧夏路派出所,萬全街78號前,東
LAAA032-01,大同分局 寧夏路派出所,萬全街3巷1-18號,北
LAAA033-01,大同分局 寧夏路派出所,承德路2段173號,東
LAAA034-01,大同分局 寧夏路派出所,民生西路95號前.,西
LAAA035-01,大同分局 寧夏路派出所,錦西街38巷26-1號,南
LAAA035-02,大同分局 寧夏路派出所,錦西街38巷18號,北
LAAA037-01,大同分局 寧夏路派出所,萬全街3巷1-16號,東
LAAA039-01,大同分局 寧夏路派出所,"民生西路,寧夏路45巷口燈桿",東南
LAAA039-02,大同分局 寧夏路派出所,"民生西路,寧夏路45巷口燈桿",北
LAAA040-01,大同分局 寧夏路派出所,承德路2段159號前分隔島,東南
LAAA041-01,大同分局 寧夏路派出所,歸綏街97巷37之1號 ,南
LAAA042-01,大同分局 寧夏路派出所,寧夏路110號前號誌桿,南
LAAA043-01,大同分局 寧夏路派出所,歸綏街171號對面燈桿,東北
LAAA044-01,大同分局 寧夏路派出所,錦西街100號前號誌桿(西南角),東
LAAA044-02,大同分局 寧夏路派出所,錦西街100號前號誌桿(西南角),西
LAAA045-01,大同分局 寧夏路派出所,保安街1號-4,西
LAAA046-01,大同分局 寧夏路派出所,寧夏路131-1號,北
LAAA047-01,大同分局 寧夏路派出所,民權西路118巷14號右前燈桿,北
LAAA048-01,大同分局 寧夏路派出所,民權西路136號前燈桿,北
LAAA049-01,大同分局 寧夏路派出所,重慶北路2段與民權西路南端分隔島號誌,北
LAAA050-01,大同分局 寧夏路派出所,涼州街1-20號,西
LAAA051-01,大同分局 寧夏路派出所,民權西路184巷59-1號旁,西
LAAA051-02,大同分局 寧夏路派出所,民權西路184巷59-1號旁,西北
LAAA052-01,大同分局 寧夏路派出所,錦西街65巷38號前,東南
LAAA053-01,大同分局 寧夏路派出所,蘭州街44號旁燈桿,北
LAAA054-01,大同分局 寧夏路派出所,民權西路160巷34號對面燈桿,南
LAAA055-01,大同分局 寧夏路派出所,承德路2段與民權西路東南角,東
LAAA056-01,大同分局 寧夏路派出所,蘭州街1號旁,東
LAAA057-01,大同分局 寧夏路派出所,民權西路118巷15弄7號旁(停車場出入口前),北
LAAA058-01,大同分局 寧夏路派出所,蘭州街1號燈桿,北
LAAA059-01,大同分局 寧夏路派出所,承德路2段156號對面分隔島,北
LAAA059-02,大同分局 寧夏路派出所,承德路2段156號對面分隔島,北
LAAA060-01,大同分局 寧夏路派出所,民權西路102巷與4弄口,東
LAAA061-01,大同分局 寧夏路派出所,錦西街85之1號前,西南
LAAA062-01,大同分局 寧夏路派出所,錦西街59巷40號,南
LAAA063-01,大同分局 寧夏路派出所,民權西路144巷10弄2號左前方燈桿,東
LAAA064-01,大同分局 寧夏路派出所,民權西路96巷19號斜對面巷內(民權西路捷運站2號出口旁巷內),東南
LAAA065-01,大同分局 寧夏路派出所,民權西路184巷9號旁,東
LAAA066-01,大同分局 寧夏路派出所,承德路3段76號前,東南
LAAA067-01,大同分局 寧夏路派出所,民權西路94巷2號口旁自立桿,南
LAAA067-02,大同分局 寧夏路派出所,承德路2段132號(分隔島),北
LAAA068-01,大同分局 寧夏路派出所,承德路2段民權西路102巷33弄口,南
LAAA069-01,大同分局 寧夏路派出所,民權西路102巷與4弄口,北
LAAA070-01,大同分局 寧夏路派出所,承德路2段與錦西街東北角,北
LAAA071-01,大同分局 寧夏路派出所,重慶北路2段207號前分隔島,北
LAAA074-01,大同分局 寧夏路派出所,承德路２段與民權西路天橋(東南角人行道),東
LAAA076-01,大同分局 寧夏路派出所,民權西路102巷27號左對面燈桿,北
LAAA077-01,大同分局 寧夏路派出所,民權西路136號,東
LAAA078-01,大同分局 寧夏路派出所,民權西路160巷28號對面燈桿,南
LAAA079-01,大同分局 寧夏路派出所,民權西路133巷20號牆上,南
LAAA080-01,大同分局 寧夏路派出所,昌吉街130號牆上,南
LAAA081-01,大同分局 寧夏路派出所,昌吉街110巷2號旁,南
LAAA082-01,大同分局 寧夏路派出所,承德路3段51巷23號右前,北
LAAA082-02,大同分局 寧夏路派出所,承德路3段51巷23號右前,南
LAAA083-01,大同分局 寧夏路派出所,台北橋上橋處-西往東/東往西(分隔島),西
LAAA083-02,大同分局 寧夏路派出所,台北橋上橋處-西往東/東往西(分隔島),東
LAAA084-01,大同分局 寧夏路派出所,大龍街54號,北
LAAA085-01,大同分局 寧夏路派出所,北市大同區民權西路139號前燈桿路口監控,西
LAAA086-01,大同分局 寧夏路派出所,承德路3段51巷20號前燈桿,北
LAAA086-02,大同分局 寧夏路派出所,承德路3段51巷20號前燈桿,南
LAAA087-01,大同分局 寧夏路派出所,承德路3段8巷2號前燈桿,東
LAAA088-01,大同分局 寧夏路派出所,蘭州街47-2號對面燈桿,北
LAAA089-01,大同分局 寧夏路派出所,大龍街19號右側燈桿,東
LAAA090-01,大同分局 寧夏路派出所,重慶北路3段25巷口,東
LAAA091-01,大同分局 寧夏路派出所,撫順街36-1號前,西
LAAA092-01,大同分局 寧夏路派出所,蘭州街89巷11號燈桿,西
LAAA092-02,大同分局 寧夏路派出所,蘭州街89巷11號燈桿,北
LAAA093-01,大同分局 寧夏路派出所,承德路3段22號左旁燈桿,西
LAAA095-01,大同分局 寧夏路派出所,承德路3段2號右旁前燈桿,南
LAAA096-01,大同分局 寧夏路派出所,蘭州街126號前燈桿,北
LAAA097-01,大同分局 寧夏路派出所,蘭州街70號燈桿,北
LAAA098-01,大同分局 寧夏路派出所,昌吉街100號,東
LAAA099-01,大同分局 寧夏路派出所,昌吉街53號對面,南
LAAA100-01,大同分局 寧夏路派出所,昌吉街10號前,東
LAAA101-01,大同分局 寧夏路派出所,民權西路133巷9號牆上,西
LAAA102-01,大同分局 寧夏路派出所,承德路3段30號旁,西
LAAA102-02,大同分局 寧夏路派出所,承德路3段30號前,北
LAAA103-01,大同分局 寧夏路派出所,承德路3段53號前,北
LAAA104-01,大同分局 寧夏路派出所,民權西路217號前號誌,西
LAAA106-01,大同分局 寧夏路派出所,昌吉街72號右前燈桿,東
LAAA108-01,大同分局 寧夏路派出所,大龍街14號前,北
LAAB001-01,大同分局 民族路派出所,迪化街2段246號,南
LAAB002-01,大同分局 民族路派出所,環河北路2段213巷2號,東
LAAB003-01,大同分局 民族路派出所,民族西路305號旁,北
LAAB004-01,大同分局 民族路派出所,環河北路2段207號前燈桿,北
LAAB005-01,大同分局 民族路派出所,重慶北路3段252巷3號前,西
LAAB006-01,大同分局 民族路派出所,延平北路4段102巷1號前,西
LAAB007-01,大同分局 民族路派出所,環河北路2段223巷4號燈桿,北
LAAB008-01,大同分局 民族路派出所,重慶北路3段236巷45弄21號對面燈桿,西
LAAB009-01,大同分局 民族路派出所,環河北路二段237巷1號,東
LAAB010-01,大同分局 民族路派出所,環河北路2段235巷1號燈桿,東
LAAB011-01,大同分局 民族路派出所,延平北路4段93號旁,東
LAAB012-01,大同分局 民族路派出所,迪化街2段252-2號燈桿,北
LAAB013-01,大同分局 民族路派出所,延平北路4段與酒泉街口東南角號誌桿,西
LAAB014-01,大同分局 民族路派出所,延平北路4段50號前號誌桿,西
LAAB015-01,大同分局 民族路派出所,環河北路2段221號右後方燈桿,東
LAAB017-01,大同分局 民族路派出所,重慶北路3段236巷49號旁,東
LAAB019-01,大同分局 民族路派出所,酒泉街116號路燈,東
LAAB020-01,大同分局 民族路派出所,迪化街2段310號,南
LAAB024-01,大同分局 民族路派出所,迪化街2段244號,東
LAAB025-01,大同分局 民族路派出所,迪化街2段296巷298號旁燈桿,北
